Loading enwik8...
Total bytes: 100000000
Starting training...

----Training FastCKA_l2_s2----
FastCKA_l2_s2: step 500/20000 | loss 2.8786
FastCKA_l2_s2: step 1000/20000 | loss 2.7418
FastCKA_l2_s2: step 1500/20000 | loss 2.6068
FastCKA_l2_s2: step 2000/20000 | loss 2.6646
FastCKA_l2_s2: step 2500/20000 | loss 2.5971
FastCKA_l2_s2: step 3000/20000 | loss 2.5140
FastCKA_l2_s2: step 3500/20000 | loss 2.5555
FastCKA_l2_s2: step 4000/20000 | loss 2.3932
FastCKA_l2_s2: step 4500/20000 | loss 2.4628
FastCKA_l2_s2: step 5000/20000 | loss 2.4989
FastCKA_l2_s2: step 5500/20000 | loss 2.4417
FastCKA_l2_s2: step 6000/20000 | loss 2.4647
FastCKA_l2_s2: step 6500/20000 | loss 2.4739
FastCKA_l2_s2: step 7000/20000 | loss 2.3578
FastCKA_l2_s2: step 7500/20000 | loss 2.4340
FastCKA_l2_s2: step 8000/20000 | loss 2.3092
FastCKA_l2_s2: step 8500/20000 | loss 2.3910
FastCKA_l2_s2: step 9000/20000 | loss 2.2003
FastCKA_l2_s2: step 9500/20000 | loss 2.3971
FastCKA_l2_s2: step 10000/20000 | loss 2.2531
FastCKA_l2_s2: step 10500/20000 | loss 2.3226
FastCKA_l2_s2: step 11000/20000 | loss 2.2767
FastCKA_l2_s2: step 11500/20000 | loss 2.1703
FastCKA_l2_s2: step 12000/20000 | loss 2.1664
FastCKA_l2_s2: step 12500/20000 | loss 2.0915
FastCKA_l2_s2: step 13000/20000 | loss 2.0028
FastCKA_l2_s2: step 13500/20000 | loss 1.9936
FastCKA_l2_s2: step 14000/20000 | loss 2.0609
FastCKA_l2_s2: step 14500/20000 | loss 1.8889
FastCKA_l2_s2: step 15000/20000 | loss 1.9411
FastCKA_l2_s2: step 15500/20000 | loss 1.9586
FastCKA_l2_s2: step 16000/20000 | loss 1.9189
FastCKA_l2_s2: step 16500/20000 | loss 1.8499
FastCKA_l2_s2: step 17000/20000 | loss 1.7442
FastCKA_l2_s2: step 17500/20000 | loss 1.8570
