Loading enwik8...
Total bytes: 100000000
number of training steps: 50000
Starting training with runs.cka_nonmixing...
Loaded 1 models from runs.cka_nonmixing
Running cka_nonmixing with 1 models
models: [('CKA_l1_s1_nonmixing', <class 'variants.ClusterKernelAttention.ClusterKernelAttention'>, {'T': 512, 'cluster_scale': 1.0, 'tau': 1.0, 'r': 32, 'causal': True, 'mixing': False}, 1)]

----Training CKA_l1_s1_nonmixing----
CKA_l1_s1_nonmixing: step 45500/50000 | loss 1.5398
CKA_l1_s1_nonmixing: step 46000/50000 | loss 1.5797
CKA_l1_s1_nonmixing: step 46500/50000 | loss 1.4778
CKA_l1_s1_nonmixing: step 47000/50000 | loss 1.4793
CKA_l1_s1_nonmixing: step 47500/50000 | loss 1.4156
CKA_l1_s1_nonmixing: step 48000/50000 | loss 1.5177
CKA_l1_s1_nonmixing: step 48500/50000 | loss 1.5551
CKA_l1_s1_nonmixing: step 49000/50000 | loss 1.5832
CKA_l1_s1_nonmixing: step 49500/50000 | loss 1.4192
CKA_l1_s1_nonmixing: step 50000/50000 | loss 1.5500
CKA_l1_s1_nonmixing: train bpb=2.1979 | val bpb=2.2297
Training completed successfully!
